City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
163,abha,18.2164,42.5053,20.900000000000034,42,0,0.0,SA,1690167201
164,malmberget,67.1753,20.6549,9.310000000000002,87,35,2.06,SE,1690167202
165,mogadishu,2.0371,45.3438,24.78000000000003,83,70,7.0,SO,1690167202
166,toungo,8.1167,12.05,21.410000000000025,93,99,0.87,NG,1690167202
167,pico truncado,-46.7949,-67.9573,-1.9399999999999977,70,9,2.94,AR,1690167203
168,vorgashor,67.5833,63.95,14.660000000000025,92,95,2.8,RU,1690167203
169,muli,2.9167,73.5667,28.33000000000004,75,89,3.17,MV,1690167203
170,hilo,19.7297,-155.09,27.850000000000023,84,100,4.12,US,1690166987
171,kristiansund,63.1115,7.732,12.360000000000014,87,100,4.12,NO,1690167205
172,fort mcmurray,56.7268,-111.381,25.77000000000004,57,0,2.57,CA,1690167206
173,ndende,-2.4008,11.3581,21.32000000000005,89,77,1.71,GA,1690167206
174,choibalsan,48.0667,114.5,21.04000000000002,52,69,1.99,MN,1690167206
175,puerto santa,-8.9906,-78.6456,20.480000000000018,82,23,4.92,PE,1690167206
176,ivrindi,39.5839,27.4864,25.350000000000023,80,0,2.68,TR,1690167207
177,cacheu,12.2706,-16.1658,26.05000000000001,88,99,2.13,GW,1690167207
178,krasnoturansk,54.3186,91.5639,13.890000000000043,89,100,0.28,RU,1690167207
179,lihue,21.9789,-159.3672,29.58000000000004,83,100,5.64,US,1690167208
180,emerald,-23.5333,148.1667,12.970000000000027,71,100,8.41,AU,1690167208
181,zeya,53.75,127.2667,30.480000000000018,29,100,3.51,RU,1690167208
182,san carlos de bariloche,-41.1456,-71.3082,-0.13999999999998636,80,75,2.57,AR,1690167208
183,mahina,-17.5065,-149.489,26.870000000000005,74,40,7.2,PF,1690167209
184,turkmenbasy,40.0222,52.9552,28.430000000000007,23,0,4.12,TM,1690167209
185,labytnangi,66.6572,66.4183,20.210000000000036,64,23,2.57,RU,1690167210
186,kurmuk,10.55,34.2833,21.360000000000014,91,100,2.48,SD,1690167210
187,atafu village,-8.5421,-172.5159,28.930000000000007,76,13,6.58,TK,1690167211
188,queenstown,-31.8976,26.8753,5.090000000000032,83,55,1.56,ZA,1690167211
189,port sudan,19.6175,37.2164,32.69,29,67,2.35,SD,1690167211
190,saint-philippe,-21.3585,55.7679,20.77000000000004,85,40,5.03,RE,1690167212
191,cabo san lucas,22.8909,-109.9124,30.03000000000003,83,100,4.12,MX,1690167212
